frame	x1	y1	x2	y2	confidence	cluster	new_cluster
418	-0.2665	-0.418	0.2072	0.4946	0.8482	-1	1
418	0.0633	-0.1782	0.1964	-0.0547	0.2612	-1	1
419	-0.2575	-0.4285	0.2511	0.4949	0.8272	-1	1
419	0.0707	-0.186	0.1983	-0.0398	0.2961	-1	1
420	-0.2681	-0.4242	0.2654	0.4916	0.8847	-1	1
421	-0.1994	-0.4212	0.2343	0.4894	0.8228	-1	1
422	-0.3051	-0.4921	0.2393	0.4945	0.9005	-1	1
423	-0.3025	-0.4974	0.2449	0.4163	0.9021	-1	1
424	-0.2944	-0.4975	0.2435	0.3764	0.8826	0	2
425	-0.2923	-0.4988	0.2489	0.318	0.8682	0	2
426	-0.2905	-0.4998	0.2482	0.3399	0.8727	0	2
427	-0.2887	-0.4985	0.2533	0.3563	0.8836	0	2
428	-0.2887	-0.499	0.2487	0.3618	0.8733	0	2
429	-0.2921	-0.4984	0.2465	0.3585	0.8558	0	2
430	-0.2944	-0.4974	0.2481	0.3639	0.8958	0	2
431	-0.2938	-0.4941	0.2487	0.3608	0.8901	0	2
432	-0.2916	-0.4946	0.2558	0.3612	0.8741	0	2
433	-0.2909	-0.4966	0.253	0.365	0.8855	0	2
434	-0.2913	-0.4969	0.2542	0.3652	0.8774	0	2
435	-0.2934	-0.496	0.2614	0.3656	0.8672	0	2
436	-0.2945	-0.4932	0.2583	0.3665	0.8699	0	2
437	-0.2946	-0.4975	0.2536	0.3704	0.8762	0	2
438	-0.2881	-0.4954	0.2503	0.371	0.8874	0	2
