frame	x1	y1	x2	y2	confidence	cluster
646	-0.3634	0.0555	-0.0545	0.4437	0.428	-1
646	-0.2655	0.2922	-0.0767	0.5	0.3595	-1
647	-0.3614	0.0473	-0.0416	0.3169	0.8684	-1
647	0.079	-0.0239	0.4489	0.3348	0.659	-1
647	-0.2654	0.287	-0.0859	0.5	0.4742	-1
648	-0.3632	0.0629	-0.0504	0.3184	0.8483	-1
648	0.086	-0.0214	0.4478	0.3341	0.6583	-1
648	-0.2687	0.291	-0.0729	0.5	0.4139	-1
649	-0.3631	0.0629	-0.05	0.3185	0.8317	-1
649	0.084	-0.021	0.4481	0.3381	0.5816	-1
649	-0.2691	0.2906	-0.0724	0.5	0.4029	-1
649	-0.3636	0.06	-0.0514	0.4533	0.3466	-1
649	-0.1445	-0.0134	-0.07	0.0557	0.2897	-1
650	-0.3632	0.0725	-0.0526	0.3204	0.8751	-1
650	-0.2675	0.2873	-0.0739	0.5	0.5133	-1
650	-0.1417	-0.0115	-0.0671	0.0597	0.5025	-1
650	0.0679	-0.0154	0.4463	0.3498	0.3638	-1
650	-0.3644	0.0691	-0.0543	0.4666	0.3176	-1
650	0.0865	-0.0052	0.2879	0.3344	0.3156	-1
651	-0.3616	0.0468	-0.0467	0.3151	0.8786	-1
651	-0.2567	0.2908	-0.0805	0.5	0.3869	-1
651	0.0657	-0.0191	0.4429	0.3496	0.3516	-1
652	-0.3619	0.0489	-0.0419	0.3142	0.8789	-1
652	-0.2636	0.2903	-0.0846	0.5	0.4963	-1
652	0.3591	0.2346	0.4052	0.3187	0.3312	-1
652	0.0892	-0.0041	0.2861	0.3332	0.3188	-1
653	-0.3639	0.0467	-0.0448	0.3186	0.7796	-1
653	0.086	-0.0086	0.2794	0.3286	0.6748	-1
653	-0.3619	0.0484	-0.044	0.4974	0.2828	-1
653	-0.2697	0.2914	-0.0766	0.5	0.2654	-1
654	-0.3643	0.0464	-0.0447	0.3188	0.7798	-1
654	0.0869	-0.0084	0.2794	0.3279	0.6779	-1
654	-0.3623	0.048	-0.0437	0.4931	0.2759	-1
654	-0.2695	0.2912	-0.077	0.5	0.2735	-1
654	0.3601	0.2286	0.4032	0.3083	0.251	-1
655	-0.3625	0.0453	-0.0469	0.3191	0.8833	-1
655	0.0905	-0.0117	0.2731	0.3327	0.67	-1
655	-0.2716	0.2858	-0.0775	0.5	0.4589	-1
655	0.4268	-0.0773	0.4574	0.0682	0.2961	-1
655	0.3531	0.2172	0.4039	0.3011	0.2933	-1
656	-0.3624	0.0415	-0.0471	0.317	0.8947	-1
656	-0.2722	0.284	-0.079	0.5	0.6011	-1
656	0.4216	-0.0696	0.4503	0.0672	0.4338	-1
656	0.0688	-0.0186	0.4287	0.3524	0.4009	-1
656	0.0798	-0.0096	0.2687	0.3214	0.3716	-1
657	-0.3656	0.0452	-0.0502	0.3168	0.8785	-1
657	0.074	-0.024	0.4143	0.3691	0.7414	-1
657	-0.2695	0.2835	-0.0801	0.5	0.5661	-1
658	-0.3653	0.0464	-0.0487	0.3179	0.878	-1
658	-0.2668	0.2865	-0.0818	0.5	0.5874	-1
658	0.0793	-0.0298	0.265	0.3186	0.5325	-1
659	-0.3654	0.0467	-0.0489	0.3176	0.878	-1
659	0.0801	-0.0308	0.2653	0.3177	0.6125	-1
659	-0.2649	0.2873	-0.0815	0.5	0.5604	-1
660	-0.3655	0.0489	-0.0493	0.3167	0.8726	-1
660	0.0814	-0.0396	0.2703	0.3162	0.5584	-1
660	-0.2584	0.2894	-0.0772	0.5	0.422	-1
660	0.0776	-0.0401	0.4401	0.3123	0.3078	-1
660	0.3435	0.179	0.4017	0.2669	0.2979	-1
661	-0.3652	0.0555	-0.0421	0.3221	0.883	-1
661	0.0819	-0.0323	0.2727	0.3169	0.8238	-1
661	-0.2544	0.2853	-0.0794	0.4998	0.5574	-1
661	0.3504	0.1804	0.4055	0.2693	0.3083	-1
662	-0.3674	0.043	-0.0409	0.3251	0.8818	-1
662	-0.2572	0.2864	-0.0797	0.4994	0.5354	-1
662	0.0828	-0.0161	0.271	0.3276	0.5084	-1
662	0.0787	-0.0341	0.4431	0.3446	0.4863	-1
663	-0.3676	0.0489	-0.0442	0.3207	0.8518	-1
663	0.073	-0.0219	0.2708	0.3282	0.7511	-1
663	-0.2589	0.2888	-0.0782	0.5	0.6642	-1
663	0.3591	0.1917	0.4167	0.2799	0.2997	-1
664	-0.3675	0.0479	-0.0443	0.3203	0.8524	-1
664	0.0733	-0.0216	0.2711	0.3276	0.774	-1
664	-0.2584	0.2887	-0.0783	0.5	0.6614	-1
664	0.3591	0.1917	0.4168	0.28	0.303	-1
665	-0.3655	0.0505	-0.0408	0.3218	0.8692	-1
665	0.0872	-0.0201	0.2769	0.3323	0.7954	-1
665	-0.2535	0.2943	-0.0731	0.5	0.6561	-1
665	0.3611	0.1992	0.4201	0.2891	0.4354	-1
666	-0.363	0.0546	-0.0379	0.3279	0.9168	-1
666	0.093	-0.02	0.2953	0.3329	0.7573	-1
666	-0.2527	0.2961	-0.073	0.5	0.7273	-1
666	0.3708	0.2048	0.4251	0.2891	0.6127	-1
667	-0.3648	0.0608	-0.0353	0.3315	0.8773	-1
667	0.0935	-0.012	0.2954	0.3344	0.7969	-1
667	-0.2502	0.2961	-0.0733	0.5	0.692	-1
667	0.3801	0.2108	0.4361	0.2975	0.6213	-1
668	-0.366	0.0723	-0.0363	0.3341	0.878	-1
668	-0.242	0.3018	-0.0733	0.4998	0.7593	-1
668	0.1002	-0.0106	0.3098	0.3459	0.7577	-1
668	0.3921	0.221	0.4417	0.3049	0.426	-1
669	-0.366	0.073	-0.0362	0.3351	0.8816	-1
669	0.0956	-0.0097	0.3103	0.3416	0.8141	-1
669	-0.2402	0.3019	-0.0728	0.4997	0.7558	-1
669	0.3917	0.2213	0.4418	0.3054	0.4265	-1
670	-0.3625	0.0621	-0.0335	0.3345	0.8829	-1
670	0.1078	-0.0095	0.314	0.3476	0.7616	-1
670	-0.2546	0.3134	-0.0711	0.5	0.7467	-1
670	0.3967	0.2342	0.4507	0.3212	0.6293	-1
671	-0.304	0.0676	-0.0314	0.3203	0.8031	-1
671	-0.262	0.3143	-0.0734	0.5	0.7026	-1
671	0.3979	0.2406	0.4539	0.3314	0.6902	-1
671	0.1112	0.0004	0.3326	0.35	0.4076	-1
671	0.4185	0.0382	0.4681	0.1209	0.2583	-1
